Status,Start Time,Stop Time,Duration in ms,Parent Suite,Suite,Sub Suite,Test Class,Test Method,Name,Description
passed,Thu Oct 17 18:45:44 IST 2024,Thu Oct 17 18:46:01 IST 2024,17244,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.ChatBotTest,com.honohr.devapp.chatbot.test.ChatBotTest,verifyChatBotResponseForCompanyHolidays,Verify Chatbot Response for Company Holidays,
passed,Thu Oct 17 18:52:17 IST 2024,Thu Oct 17 18:53:30 IST 2024,72939,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.ChatBotTest,com.honohr.devapp.chatbot.test.ChatBotTest,verifyChatBotResponseForCalendar,Verify Chatbot Response for Calendar ,
passed,Thu Oct 17 19:10:05 IST 2024,Thu Oct 17 19:10:42 IST 2024,36961,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.ChatBotTest,com.honohr.devapp.chatbot.test.ChatBotTest,verifyChatBotResponseByGivingQuestion,Verify ChatGpt Response for Entering Question,
passed,Thu Oct 17 18:19:22 IST 2024,Thu Oct 17 18:19:42 IST 2024,20207,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.ApplyLeaveTest,com.honohr.devapp.chatbot.test.ApplyLeaveTest,verifyChatBotResponseForEndDateAsToday,Verify Chatbot Response for End date as today,
passed,Thu Oct 17 19:21:04 IST 2024,Thu Oct 17 19:21:08 IST 2024,4162,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.PulseSurveyTest,com.honohr.devapp.chatbot.test.PulseSurveyTest,verifyDashboardDetailsAfterLoginWithValidDetails,Verify Dashboard Details after giving a valid User Name & password,
passed,Thu Oct 17 18:26:49 IST 2024,Thu Oct 17 18:27:10 IST 2024,21013,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.ApplyLeaveTest,com.honohr.devapp.chatbot.test.ApplyLeaveTest,verifyChatBotResponseBySelectPrivilegeLeave,Verify Chatbot Response by Select Privilege Leave ,
passed,Thu Oct 17 18:09:22 IST 2024,Thu Oct 17 18:09:58 IST 2024,35858,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.ApplyODTest,com.honohr.devapp.chatbot.test.ApplyODTest,verifyChatBotResponseBySelectReason,Verify Chatbot Response by Select Reasson,
passed,Thu Oct 17 17:49:06 IST 2024,Thu Oct 17 17:49:22 IST 2024,15590,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.ApplyARTest,com.honohr.devapp.chatbot.test.ApplyARTest,verifyChatBotResponseForStartDateAsToday,Verify Chatbot Response for Start date as today,
passed,Thu Oct 17 18:46:01 IST 2024,Thu Oct 17 18:46:17 IST 2024,15578,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.ChatBotTest,com.honohr.devapp.chatbot.test.ChatBotTest,verifyChatBotResponseForAnniversaries,Verify Chatbot Response for Anniversaries,
passed,Thu Oct 17 18:05:40 IST 2024,Thu Oct 17 18:05:47 IST 2024,7116,ChatBot Suite,ChatBot Test,com.honohr.devapp.chatbot.test.ApplyODTest,com.honohr.devapp.chatbot.test.ApplyODTest,verifyChatBotDetails,Verify Chatbot Details,
